time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 4062.55 , 2803.59 , 1258.97 , 0
1 , 3419.06 , 2579.75 , 839.31 , 0
1.5 , 3206.39 , 2367.08 , 839.31 , 0
2 , 2668.68 , 2249.02 , 419.655 , 0
2.5 , 2967.39 , 2128.08 , 839.31 , 0
3 , 3278.12 , 2019.16 , 1258.97 , 0
3.5 , 2779.51 , 1940.2 , 839.31 , 0
4 , 2711.79 , 1872.48 , 839.31 , 0
4.5 , 3076.84 , 1817.87 , 1258.97 , 0
5 , 2658.29 , 1818.98 , 839.31 , 0
5.5 , 3066.26 , 1807.29 , 1258.97 , 0
6 , 2213.11 , 1793.45 , 419.655 , 0
6.5 , 2258.89 , 1843.62 , 419.655 , 4.38768
7 , 2319.96 , 1904.69 , 419.655 , 4.38768
7.5 , 2749.15 , 2019.23 , 839.31 , 109.392
8 , 2481.17 , 2170.91 , 419.655 , 109.392
8.5 , 2527.01 , 2371.98 , 419.655 , 264.627
9 , 2795.75 , 2640.72 , 419.655 , 264.627
9.5 , 3221.12 , 2892.26 , 839.31 , 510.449
10 , 3011.51 , 3102.3 , 419.655 , 510.449
10.5 , 2156.19 , 3309.57 , 0 , 1153.38
11 , 2774.49 , 3508.22 , 419.655 , 1153.38
11.5 , 2668.58 , 3701.8 , 419.655 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 2615.78 , 3756.36 , 1258.97 , 2399.55
13 , 2024.59 , 3584.83 , 839.31 , 2399.55
13.5 , 3341.2 , 3317.47 , 1258.97 , 1235.23
14 , 2764.81 , 3160.73 , 839.31 , 1235.23
14.5 , 2426.29 , 3067.77 , 1258.97 , 1900.45
15 , 2784.08 , 3005.9 , 1678.62 , 1900.45
15.5 , 2494.95 , 2939.88 , 1258.97 , 1703.89
16 , 2431.95 , 2876.88 , 1258.97 , 1703.89
16.5 , 2131.14 , 2860.24 , 419.655 , 1148.75
17 , 3009.5 , 2899.28 , 1258.97 , 1148.75
17.5 , 2872.3 , 2984.74 , 419.655 , 532.094
18 , 3447.12 , 3139.9 , 839.31 , 532.094
18.5 , 4229.21 , 3450.21 , 839.31 , 60.3139
19 , 3798.27 , 3858.59 , 0 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3186.18 , 3186.18 , 0 , 0
