time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 3223.24 , 2803.59 , 419.655 , 0
1 , 2999.41 , 2579.75 , 419.655 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 2668.68 , 2249.02 , 419.655 , 0
2.5 , 2547.73 , 2128.08 , 419.655 , 0
3 , 3278.12 , 2019.16 , 1258.97 , 0
3.5 , 2779.51 , 1940.2 , 839.31 , 0
4 , 3131.45 , 1872.48 , 1258.97 , 0
4.5 , 2657.18 , 1817.87 , 839.31 , 0
5 , 3077.95 , 1818.98 , 1258.97 , 0
5.5 , 2646.6 , 1807.29 , 839.31 , 0
6 , 3052.42 , 1793.45 , 1258.97 , 0
6.5 , 2258.89 , 1843.62 , 419.655 , 4.38768
7 , 2739.61 , 1904.69 , 839.31 , 4.38768
7.5 , 3168.8 , 2019.23 , 1258.97 , 109.392
8 , 2900.83 , 2170.91 , 839.31 , 109.392
8.5 , 2946.66 , 2371.98 , 839.31 , 264.627
9 , 2795.75 , 2640.72 , 419.655 , 264.627
9.5 , 2801.46 , 2892.26 , 419.655 , 510.449
10 , 3011.51 , 3102.3 , 419.655 , 510.449
10.5 , 2575.85 , 3309.57 , 419.655 , 1153.38
11 , 3194.14 , 3508.22 , 839.31 , 1153.38
11.5 , 3088.24 , 3701.8 , 839.31 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 2196.12 , 3756.36 , 839.31 , 2399.55
13 , 2024.59 , 3584.83 , 839.31 , 2399.55
13.5 , 2921.55 , 3317.47 , 839.31 , 1235.23
14 , 2345.15 , 3160.73 , 419.655 , 1235.23
14.5 , 2006.64 , 3067.77 , 839.31 , 1900.45
15 , 2784.08 , 3005.9 , 1678.62 , 1900.45
15.5 , 2075.3 , 2939.88 , 839.31 , 1703.89
16 , 2431.95 , 2876.88 , 1258.97 , 1703.89
16.5 , 2970.45 , 2860.24 , 1258.97 , 1148.75
17 , 3009.5 , 2899.28 , 1258.97 , 1148.75
17.5 , 2872.3 , 2984.74 , 419.655 , 532.094
18 , 3447.12 , 3139.9 , 839.31 , 532.094
18.5 , 3389.9 , 3450.21 , 0 , 60.3139
19 , 3798.27 , 3858.59 , 0 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4612.65 , 4192.99 , 419.655 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3605.83 , 3186.18 , 419.655 , 0
