time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 3223.24 , 2803.59 , 419.655 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 3088.33 , 2249.02 , 839.31 , 0
2.5 , 2967.39 , 2128.08 , 839.31 , 0
3 , 2019.16 , 2019.16 , 0 , 0
3.5 , 2779.51 , 1940.2 , 839.31 , 0
4 , 2292.14 , 1872.48 , 419.655 , 0
4.5 , 2237.53 , 1817.87 , 419.655 , 0
5 , 2658.29 , 1818.98 , 839.31 , 0
5.5 , 2226.95 , 1807.29 , 419.655 , 0
6 , 2632.76 , 1793.45 , 839.31 , 0
6.5 , 2678.54 , 1843.62 , 839.31 , 4.38768
7 , 2739.61 , 1904.69 , 839.31 , 4.38768
7.5 , 2329.49 , 2019.23 , 419.655 , 109.392
8 , 2900.83 , 2170.91 , 839.31 , 109.392
8.5 , 3366.32 , 2371.98 , 1258.97 , 264.627
9 , 3635.06 , 2640.72 , 1258.97 , 264.627
9.5 , 3221.12 , 2892.26 , 839.31 , 510.449
10 , 3431.16 , 3102.3 , 839.31 , 510.449
10.5 , 2995.5 , 3309.57 , 839.31 , 1153.38
11 , 2354.83 , 3508.22 , 0 , 1153.38
11.5 , 3088.24 , 3701.8 , 839.31 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 2615.78 , 3756.36 , 1258.97 , 2399.55
13 , 2444.25 , 3584.83 , 1258.97 , 2399.55
13.5 , 2921.55 , 3317.47 , 839.31 , 1235.23
14 , 2764.81 , 3160.73 , 839.31 , 1235.23
14.5 , 2006.64 , 3067.77 , 839.31 , 1900.45
15 , 3203.73 , 3005.9 , 2098.28 , 1900.45
15.5 , 2075.3 , 2939.88 , 839.31 , 1703.89
16 , 2012.3 , 2876.88 , 839.31 , 1703.89
16.5 , 2131.14 , 2860.24 , 419.655 , 1148.75
17 , 2170.18 , 2899.28 , 419.655 , 1148.75
17.5 , 3711.61 , 2984.74 , 1258.97 , 532.094
18 , 3027.46 , 3139.9 , 419.655 , 532.094
18.5 , 3809.55 , 3450.21 , 419.655 , 60.3139
19 , 4217.93 , 3858.59 , 419.655 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4683.38 , 4263.73 , 419.655 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4517.38 , 4097.72 , 419.655 , 0
22 , 4390.8 , 3971.15 , 419.655 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 4025.49 , 3186.18 , 839.31 , 0
