time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3442 , 3022.34 , 419.655 , 0
0.5 , 3642.9 , 2803.59 , 839.31 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 3507.99 , 2249.02 , 1258.97 , 0
2.5 , 3387.04 , 2128.08 , 1258.97 , 0
3 , 2019.16 , 2019.16 , 0 , 0
3.5 , 2359.86 , 1940.2 , 419.655 , 0
4 , 1872.48 , 1872.48 , 0 , 0
4.5 , 3496.49 , 1817.87 , 1678.62 , 0
5 , 2238.64 , 1818.98 , 419.655 , 0
5.5 , 2646.6 , 1807.29 , 839.31 , 0
6 , 2213.11 , 1793.45 , 419.655 , 0
6.5 , 1839.23 , 1843.62 , 0 , 4.38768
7 , 3159.27 , 1904.69 , 1258.97 , 4.38768
7.5 , 1909.84 , 2019.23 , 0 , 109.392
8 , 2481.17 , 2170.91 , 419.655 , 109.392
8.5 , 2527.01 , 2371.98 , 419.655 , 264.627
9 , 3215.41 , 2640.72 , 839.31 , 264.627
9.5 , 4060.43 , 2892.26 , 1678.62 , 510.449
10 , 3431.16 , 3102.3 , 839.31 , 510.449
10.5 , 2575.85 , 3309.57 , 419.655 , 1153.38
11 , 2774.49 , 3508.22 , 419.655 , 1153.38
11.5 , 3088.24 , 3701.8 , 839.31 , 1452.87
12 , 2754.73 , 3787.94 , 419.655 , 1452.87
12.5 , 3455.09 , 3756.36 , 2098.28 , 2399.55
13 , 2024.59 , 3584.83 , 839.31 , 2399.55
13.5 , 3341.2 , 3317.47 , 1258.97 , 1235.23
14 , 1925.5 , 3160.73 , 0 , 1235.23
14.5 , 1167.33 , 3067.77 , 0 , 1900.45
15 , 1525.11 , 3005.9 , 419.655 , 1900.45
15.5 , 2075.3 , 2939.88 , 839.31 , 1703.89
16 , 1592.64 , 2876.88 , 419.655 , 1703.89
16.5 , 2131.14 , 2860.24 , 419.655 , 1148.75
17 , 2170.18 , 2899.28 , 419.655 , 1148.75
17.5 , 4131.26 , 2984.74 , 1678.62 , 532.094
18 , 3447.12 , 3139.9 , 839.31 , 532.094
18.5 , 4229.21 , 3450.21 , 839.31 , 60.3139
19 , 3798.27 , 3858.59 , 0 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4675.1 , 4255.44 , 419.655 , 0
20.5 , 5522.69 , 4263.73 , 1258.97 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 4810.46 , 3971.15 , 839.31 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 4766.29 , 3507.33 , 1258.97 , 0
23.5 , 4025.49 , 3186.18 , 839.31 , 0
