time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3442 , 3022.34 , 419.655 , 0
0.5 , 3223.24 , 2803.59 , 419.655 , 0
1 , 2999.41 , 2579.75 , 419.655 , 0
1.5 , 3206.39 , 2367.08 , 839.31 , 0
2 , 3088.33 , 2249.02 , 839.31 , 0
2.5 , 2547.73 , 2128.08 , 419.655 , 0
3 , 2438.81 , 2019.16 , 419.655 , 0
3.5 , 1940.2 , 1940.2 , 0 , 0
4 , 3131.45 , 1872.48 , 1258.97 , 0
4.5 , 2657.18 , 1817.87 , 839.31 , 0
5 , 2238.64 , 1818.98 , 419.655 , 0
5.5 , 3485.91 , 1807.29 , 1678.62 , 0
6 , 2632.76 , 1793.45 , 839.31 , 0
6.5 , 2678.54 , 1843.62 , 839.31 , 4.38768
7 , 2319.96 , 1904.69 , 419.655 , 4.38768
7.5 , 2749.15 , 2019.23 , 839.31 , 109.392
8 , 2900.83 , 2170.91 , 839.31 , 109.392
8.5 , 2946.66 , 2371.98 , 839.31 , 264.627
9 , 2795.75 , 2640.72 , 419.655 , 264.627
9.5 , 3221.12 , 2892.26 , 839.31 , 510.449
10 , 3431.16 , 3102.3 , 839.31 , 510.449
10.5 , 2995.5 , 3309.57 , 839.31 , 1153.38
11 , 2774.49 , 3508.22 , 419.655 , 1153.38
11.5 , 2668.58 , 3701.8 , 419.655 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 3035.43 , 3756.36 , 1678.62 , 2399.55
13 , 2024.59 , 3584.83 , 839.31 , 2399.55
13.5 , 3341.2 , 3317.47 , 1258.97 , 1235.23
14 , 2764.81 , 3160.73 , 839.31 , 1235.23
14.5 , 2426.29 , 3067.77 , 1258.97 , 1900.45
15 , 2784.08 , 3005.9 , 1678.62 , 1900.45
15.5 , 2494.95 , 2939.88 , 1258.97 , 1703.89
16 , 2851.61 , 2876.88 , 1678.62 , 1703.89
16.5 , 2550.8 , 2860.24 , 839.31 , 1148.75
17 , 2170.18 , 2899.28 , 419.655 , 1148.75
17.5 , 2872.3 , 2984.74 , 419.655 , 532.094
18 , 3027.46 , 3139.9 , 419.655 , 532.094
18.5 , 3389.9 , 3450.21 , 0 , 60.3139
19 , 4217.93 , 3858.59 , 419.655 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3186.18 , 3186.18 , 0 , 0
