time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 3642.9 , 2803.59 , 839.31 , 0
1 , 2999.41 , 2579.75 , 419.655 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 3088.33 , 2249.02 , 839.31 , 0
2.5 , 2967.39 , 2128.08 , 839.31 , 0
3 , 2438.81 , 2019.16 , 419.655 , 0
3.5 , 2779.51 , 1940.2 , 839.31 , 0
4 , 2711.79 , 1872.48 , 839.31 , 0
4.5 , 2657.18 , 1817.87 , 839.31 , 0
5 , 2238.64 , 1818.98 , 419.655 , 0
5.5 , 2646.6 , 1807.29 , 839.31 , 0
6 , 2632.76 , 1793.45 , 839.31 , 0
6.5 , 2258.89 , 1843.62 , 419.655 , 4.38768
7 , 2739.61 , 1904.69 , 839.31 , 4.38768
7.5 , 2329.49 , 2019.23 , 419.655 , 109.392
8 , 2900.83 , 2170.91 , 839.31 , 109.392
8.5 , 2946.66 , 2371.98 , 839.31 , 264.627
9 , 2795.75 , 2640.72 , 419.655 , 264.627
9.5 , 2801.46 , 2892.26 , 419.655 , 510.449
10 , 3011.51 , 3102.3 , 419.655 , 510.449
10.5 , 2995.5 , 3309.57 , 839.31 , 1153.38
11 , 2774.49 , 3508.22 , 419.655 , 1153.38
11.5 , 3088.24 , 3701.8 , 839.31 , 1452.87
12 , 3594.04 , 3787.94 , 1258.97 , 1452.87
12.5 , 2196.12 , 3756.36 , 839.31 , 2399.55
13 , 2444.25 , 3584.83 , 1258.97 , 2399.55
13.5 , 2921.55 , 3317.47 , 839.31 , 1235.23
14 , 2764.81 , 3160.73 , 839.31 , 1235.23
14.5 , 2426.29 , 3067.77 , 1258.97 , 1900.45
15 , 2364.42 , 3005.9 , 1258.97 , 1900.45
15.5 , 2075.3 , 2939.88 , 839.31 , 1703.89
16 , 2012.3 , 2876.88 , 839.31 , 1703.89
16.5 , 2131.14 , 2860.24 , 419.655 , 1148.75
17 , 2589.84 , 2899.28 , 839.31 , 1148.75
17.5 , 3291.95 , 2984.74 , 839.31 , 532.094
18 , 3027.46 , 3139.9 , 419.655 , 532.094
18.5 , 3809.55 , 3450.21 , 419.655 , 60.3139
19 , 4217.93 , 3858.59 , 419.655 , 60.3139
19.5 , 4522.37 , 4102.71 , 419.655 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4612.65 , 4192.99 , 419.655 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 4390.8 , 3971.15 , 419.655 , 0
22.5 , 4203.75 , 3784.1 , 419.655 , 0
23 , 3926.98 , 3507.33 , 419.655 , 0
23.5 , 3605.83 , 3186.18 , 419.655 , 0
