time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3442 , 3022.34 , 419.655 , 0
0.5 , 3223.24 , 2803.59 , 419.655 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2367.08 , 2367.08 , 0 , 0
2 , 2668.68 , 2249.02 , 419.655 , 0
2.5 , 2967.39 , 2128.08 , 839.31 , 0
3 , 2019.16 , 2019.16 , 0 , 0
3.5 , 3199.17 , 1940.2 , 1258.97 , 0
4 , 2711.79 , 1872.48 , 839.31 , 0
4.5 , 2657.18 , 1817.87 , 839.31 , 0
5 , 2658.29 , 1818.98 , 839.31 , 0
5.5 , 2226.95 , 1807.29 , 419.655 , 0
6 , 3052.42 , 1793.45 , 1258.97 , 0
6.5 , 2258.89 , 1843.62 , 419.655 , 4.38768
7 , 2319.96 , 1904.69 , 419.655 , 4.38768
7.5 , 2329.49 , 2019.23 , 419.655 , 109.392
8 , 3320.48 , 2170.91 , 1258.97 , 109.392
8.5 , 2946.66 , 2371.98 , 839.31 , 264.627
9 , 3635.06 , 2640.72 , 1258.97 , 264.627
9.5 , 2801.46 , 2892.26 , 419.655 , 510.449
10 , 3431.16 , 3102.3 , 839.31 , 510.449
10.5 , 2995.5 , 3309.57 , 839.31 , 1153.38
11 , 3194.14 , 3508.22 , 839.31 , 1153.38
11.5 , 3088.24 , 3701.8 , 839.31 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 2196.12 , 3756.36 , 839.31 , 2399.55
13 , 2863.9 , 3584.83 , 1678.62 , 2399.55
13.5 , 2921.55 , 3317.47 , 839.31 , 1235.23
14 , 2345.15 , 3160.73 , 419.655 , 1235.23
14.5 , 1586.98 , 3067.77 , 419.655 , 1900.45
15 , 2364.42 , 3005.9 , 1258.97 , 1900.45
15.5 , 2494.95 , 2939.88 , 1258.97 , 1703.89
16 , 2431.95 , 2876.88 , 1258.97 , 1703.89
16.5 , 1711.49 , 2860.24 , 0 , 1148.75
17 , 2589.84 , 2899.28 , 839.31 , 1148.75
17.5 , 3711.61 , 2984.74 , 1258.97 , 532.094
18 , 3027.46 , 3139.9 , 419.655 , 532.094
18.5 , 3809.55 , 3450.21 , 419.655 , 60.3139
19 , 4217.93 , 3858.59 , 419.655 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4675.1 , 4255.44 , 419.655 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4612.65 , 4192.99 , 419.655 , 0
21.5 , 4517.38 , 4097.72 , 419.655 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 4025.49 , 3186.18 , 839.31 , 0
