time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3442 , 3022.34 , 419.655 , 0
0.5 , 3223.24 , 2803.59 , 419.655 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 2668.68 , 2249.02 , 419.655 , 0
2.5 , 3387.04 , 2128.08 , 1258.97 , 0
3 , 2858.47 , 2019.16 , 839.31 , 0
3.5 , 2779.51 , 1940.2 , 839.31 , 0
4 , 2292.14 , 1872.48 , 419.655 , 0
4.5 , 3496.49 , 1817.87 , 1678.62 , 0
5 , 2658.29 , 1818.98 , 839.31 , 0
5.5 , 2226.95 , 1807.29 , 419.655 , 0
6 , 3052.42 , 1793.45 , 1258.97 , 0
6.5 , 2258.89 , 1843.62 , 419.655 , 4.38768
7 , 2739.61 , 1904.69 , 839.31 , 4.38768
7.5 , 2329.49 , 2019.23 , 419.655 , 109.392
8 , 2900.83 , 2170.91 , 839.31 , 109.392
8.5 , 2527.01 , 2371.98 , 419.655 , 264.627
9 , 3215.41 , 2640.72 , 839.31 , 264.627
9.5 , 2801.46 , 2892.26 , 419.655 , 510.449
10 , 3431.16 , 3102.3 , 839.31 , 510.449
10.5 , 2575.85 , 3309.57 , 419.655 , 1153.38
11 , 3194.14 , 3508.22 , 839.31 , 1153.38
11.5 , 2668.58 , 3701.8 , 419.655 , 1452.87
12 , 3174.39 , 3787.94 , 839.31 , 1452.87
12.5 , 2196.12 , 3756.36 , 839.31 , 2399.55
13 , 2024.59 , 3584.83 , 839.31 , 2399.55
13.5 , 3341.2 , 3317.47 , 1258.97 , 1235.23
14 , 2345.15 , 3160.73 , 419.655 , 1235.23
14.5 , 2006.64 , 3067.77 , 839.31 , 1900.45
15 , 2364.42 , 3005.9 , 1258.97 , 1900.45
15.5 , 2075.3 , 2939.88 , 839.31 , 1703.89
16 , 1592.64 , 2876.88 , 419.655 , 1703.89
16.5 , 2131.14 , 2860.24 , 419.655 , 1148.75
17 , 2589.84 , 2899.28 , 839.31 , 1148.75
17.5 , 3291.95 , 2984.74 , 839.31 , 532.094
18 , 3447.12 , 3139.9 , 839.31 , 532.094
18.5 , 3389.9 , 3450.21 , 0 , 60.3139
19 , 4217.93 , 3858.59 , 419.655 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 5094.75 , 4255.44 , 839.31 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4612.65 , 4192.99 , 419.655 , 0
21.5 , 4937.03 , 4097.72 , 839.31 , 0
22 , 4390.8 , 3971.15 , 419.655 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 4025.49 , 3186.18 , 839.31 , 0
