time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 3642.9 , 2803.59 , 839.31 , 0
1 , 3419.06 , 2579.75 , 839.31 , 0
1.5 , 2786.74 , 2367.08 , 419.655 , 0
2 , 3088.33 , 2249.02 , 839.31 , 0
2.5 , 2967.39 , 2128.08 , 839.31 , 0
3 , 2019.16 , 2019.16 , 0 , 0
3.5 , 3199.17 , 1940.2 , 1258.97 , 0
4 , 2711.79 , 1872.48 , 839.31 , 0
4.5 , 3076.84 , 1817.87 , 1258.97 , 0
5 , 3077.95 , 1818.98 , 1258.97 , 0
5.5 , 2226.95 , 1807.29 , 419.655 , 0
6 , 2632.76 , 1793.45 , 839.31 , 0
6.5 , 2258.89 , 1843.62 , 419.655 , 4.38768
7 , 2319.96 , 1904.69 , 419.655 , 4.38768
7.5 , 3168.8 , 2019.23 , 1258.97 , 109.392
8 , 2900.83 , 2170.91 , 839.31 , 109.392
8.5 , 2527.01 , 2371.98 , 419.655 , 264.627
9 , 3215.41 , 2640.72 , 839.31 , 264.627
9.5 , 3221.12 , 2892.26 , 839.31 , 510.449
10 , 3011.51 , 3102.3 , 419.655 , 510.449
10.5 , 3415.16 , 3309.57 , 1258.97 , 1153.38
11 , 2774.49 , 3508.22 , 419.655 , 1153.38
11.5 , 3088.24 , 3701.8 , 839.31 , 1452.87
12 , 2754.73 , 3787.94 , 419.655 , 1452.87
12.5 , 3035.43 , 3756.36 , 1678.62 , 2399.55
13 , 2024.59 , 3584.83 , 839.31 , 2399.55
13.5 , 2921.55 , 3317.47 , 839.31 , 1235.23
14 , 2345.15 , 3160.73 , 419.655 , 1235.23
14.5 , 2006.64 , 3067.77 , 839.31 , 1900.45
15 , 1944.77 , 3005.9 , 839.31 , 1900.45
15.5 , 2075.3 , 2939.88 , 839.31 , 1703.89
16 , 2431.95 , 2876.88 , 1258.97 , 1703.89
16.5 , 2550.8 , 2860.24 , 839.31 , 1148.75
17 , 2589.84 , 2899.28 , 839.31 , 1148.75
17.5 , 3291.95 , 2984.74 , 839.31 , 532.094
18 , 3027.46 , 3139.9 , 419.655 , 532.094
18.5 , 3809.55 , 3450.21 , 419.655 , 60.3139
19 , 3798.27 , 3858.59 , 0 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4612.65 , 4192.99 , 419.655 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3926.98 , 3507.33 , 419.655 , 0
23.5 , 3605.83 , 3186.18 , 419.655 , 0
